 Duration   Pulse      Date    Calories   Maxpulse
  0         60  '2020/12/01'    110       130
  1         60  '2020/12/02'    117       145
  2         60  '2020/12/03'    103       135
  3         45  '2020/12/04'    109       175
  4         45  '2020/12/05'    117       148
  5         60  '2020/12/06'    102       127
  6         60  '2020/12/07'    110       136
  7        450  '2020/12/08'    104       134
  8         30  '2020/12/09'    109       133
  9         60  '2020/12/10'     98       124
  10        60  '2020/12/11'    103       147
  11        60  '2020/12/12'    100       120
  12        60  '2020/12/12'    100       120
  13        60  '2020/12/13'    106       128
  14        60  '2020/12/14'    104       132
  15        60  '2020/12/15'     98       123
  16        60  '2020/12/16'     98       120
  17        60  '2020/12/17'    100       120
  18        45  '2020/12/18'     90       NaN
  19        60  '2020/12/19'    103       123
  20        45  '2020/12/20'     97       125
  21        60  '2020/12/21'    108       131
  22        45           NaN    100       119
  23        60  '2020/12/23'    130       101
  24        45  '2020/12/24'    105       132
  25        60  '2020/12/25'    102       126
  26        60    2020/12/26    100       120
  27        60  '2020/12/27'     92       118
  28        60  '2020/12/28'    103       NaN
  29        60  '2020/12/29'    100       132
  30        60  '2020/12/30'    102       129
  31        60  '2020/12/31'     92       115
